total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

4.18-4.0.2.2.3.3.6.2|4.18-4.0.2.2.3.3.6|[ 2, 2, 4, 6 ]|[ 2A, 2A, 3C, 3D ]|[ a, c^2b^2a, b^2, cb^2 ]
4.20-1.0.4.4.5.1.1|4.20-1.0.4.4.5.1|[ 3, 4, 5 ]|[ 4A1, 4A-1, 5A1 ]|[ a, ba^-1, b^4 ]
4.20-1.0.4.4.5.2.1|4.20-1.0.4.4.5.2|[ 3, 4, 6 ]|[ 4A1, 4A-1, 5A2 ]|[ a, b^3a^-1, b^2 ]
4.20-3.0.4.4.5.1.1|4.20-3.0.4.4.5.1|[ 3, 4, 5 ]|[ 4A-1, 4A1, 5A ]|[ a^-1, b^2a, b^3 ]
4.20-5.0.2.10.10.1.1|4.20-5.0.2.10.10.1|[ 2, 15, 18 ]|[ 2A, 10A-1, 10C1 ]|[ b^5, b^6a, b^9a ]
4.20-5.0.2.10.10.2.1|4.20-5.0.2.10.10.2|[ 2, 14, 19 ]|[ 2A, 10A3, 10C-1 ]|[ b^5, b^4a, ba ]
4.20-5.0.2.10.10.3.1|4.20-5.0.2.10.10.3|[ 2, 13, 20 ]|[ 2A, 10A-3, 10B3 ]|[ b^5, b^8a, b^7a ]
4.20-5.0.2.10.10.4.1|4.20-5.0.2.10.10.4|[ 2, 16, 17 ]|[ 2A, 10B-3, 10C3 ]|[ b^5, b^2a, b^3a ]
4.20-5.0.2.10.10.5.1|4.20-5.0.2.10.10.5|[ 3, 12, 17 ]|[ 2B, 10A1, 10C3 ]|[ a, b^7, b^3a ]
4.20-5.0.2.10.10.6.1|4.20-5.0.2.10.10.6|[ 3, 11, 18 ]|[ 2B, 10B1, 10C1 ]|[ a, b, b^9a ]
4.20-5.0.2.10.10.7.1|4.20-5.0.2.10.10.7|[ 3, 10, 19 ]|[ 2B, 10B-1, 10C-1 ]|[ a, b^9, ba ]
4.20-5.0.2.10.10.8.1|4.20-5.0.2.10.10.8|[ 3, 9, 20 ]|[ 2B, 10C-3, 10B3 ]|[ a, b^3, b^7a ]
4.20-5.0.2.10.10.9.1|4.20-5.0.2.10.10.9|[ 4, 12, 13 ]|[ 2C, 10A1, 10A-3 ]|[ b^5a, b^7, b^8a ]
4.20-5.0.2.10.10.10.1|4.20-5.0.2.10.10.10|[ 4, 11, 14 ]|[ 2C, 10B1, 10A3 ]|[ b^5a, b, b^4a ]
4.20-5.0.2.10.10.11.1|4.20-5.0.2.10.10.11|[ 4, 10, 15 ]|[ 2C, 10B-1, 10A-1 ]|[ b^5a, b^9, b^6a ]
4.20-5.0.2.10.10.12.1|4.20-5.0.2.10.10.12|[ 4, 9, 16 ]|[ 2C, 10C-3, 10B-3 ]|[ b^5a, b^3, b^2a ]
4.20-4.0.2.2.2.5.1.1|4.20-4.0.2.2.2.5.1|[ 2, 3, 4, 5 ]|[ 2A, 2B, 2C, 5A1 ]|[ b^5, a, b^7a, b^8 ]
4.20-4.0.2.2.2.5.2.1|4.20-4.0.2.2.2.5.2|[ 2, 3, 4, 6 ]|[ 2A, 2B, 2C, 5A2 ]|[ b^5, a, ba, b^4 ]
4.24-3.0.3.4.6.1.1|4.24-3.0.3.4.6.1|[ 4, 5, 6 ]|[ 3A1, 4A, 6A1 ]|[ a^2, b^-2c, b^-2cba ]
4.24-3.0.3.4.6.2.1|4.24-3.0.3.4.6.2|[ 3, 5, 7 ]|[ 3A-1, 4A, 6A-1 ]|[ a, c, b^-1a^2 ]
4.24-10.0.2.6.12.1.1|4.24-10.0.2.6.12.1|[ 4, 11, 14 ]|[ 2B, 6B-1, 12A-1 ]|[ b^9a, b^4a, b^5 ]
4.24-10.0.2.6.12.2.1|4.24-10.0.2.6.12.2|[ 4, 10, 15 ]|[ 2B, 6C1, 12A1 ]|[ b^9a, b^8a, b ]
4.24-10.0.2.6.12.3.1|4.24-10.0.2.6.12.3|[ 3, 12, 15 ]|[ 2C, 6B1, 12A1 ]|[ a, b^5a, b^7 ]
4.24-10.0.2.6.12.4.1|4.24-10.0.2.6.12.4|[ 3, 13, 14 ]|[ 2C, 6C-1, 12A-1 ]|[ a, ba, b^11 ]
4.24-12.0.2.2.2.4.1.1|4.24-12.0.2.2.2.4.1|[ 3, 3, 3, 5 ]|[ 2B, 2B, 2B, 4A ]|[ a, ba, cba, da ]
4.24-12.0.2.2.2.4.1.2|4.24-12.0.2.2.2.4.1|[ 3, 3, 3, 5 ]|[ 2B, 2B, 2B, 4A ]|[ a, ba, db^2a, dcba ]
4.24-12.0.2.2.2.4.1.3|4.24-12.0.2.2.2.4.1|[ 3, 3, 3, 5 ]|[ 2B, 2B, 2B, 4A ]|[ a, ba, dca, cb^2a ]
4.24-12.0.2.2.2.4.1.4|4.24-12.0.2.2.2.4.1|[ 3, 3, 3, 5 ]|[ 2B, 2B, 2B, 4A ]|[ a, dca, ba, dcba ]
4.32-19.0.2.4.16.1.1|4.32-19.0.2.4.16.1|[ 3, 5, 11 ]|[ 2B, 4B, 16A1 ]|[ a, b^3a, b^-3 ]
4.32-19.0.2.4.16.2.1|4.32-19.0.2.4.16.2|[ 3, 5, 9 ]|[ 2B, 4B, 16A-1 ]|[ a, b^-5a, b^5 ]
4.32-19.0.2.4.16.3.1|4.32-19.0.2.4.16.3|[ 3, 5, 10 ]|[ 2B, 4B, 16A3 ]|[ a, b^7a, b^-7 ]
4.32-19.0.2.4.16.4.1|4.32-19.0.2.4.16.4|[ 3, 5, 8 ]|[ 2B, 4B, 16A-3 ]|[ a, b^-1a, b ]
4.36-9.0.3.4.4.1.1|4.36-9.0.3.4.4.1|[ 3, 5, 6 ]|[ 3A, 4A1, 4A-1 ]|[ c^2, a, ca^-1 ]
4.36-9.0.3.4.4.2.1|4.36-9.0.3.4.4.2|[ 4, 5, 6 ]|[ 3B, 4A1, 4A-1 ]|[ cb^2, a, c^2ba^-1 ]
4.36-11.0.3.3.6.1.1|4.36-11.0.3.3.6.1|[ 8, 9, 12 ]|[ 3B-1, 3D1, 6A1 ]|[ c^2a^2, c^2ba, c^2b ]
4.36-11.0.3.3.6.2.1|4.36-11.0.3.3.6.2|[ 6, 9, 11 ]|[ 3C1, 3D1, 6A-1 ]|[ a^2, c^2ba, c^4b ]
4.36-11.0.3.3.6.3.1|4.36-11.0.3.3.6.3|[ 6, 7, 12 ]|[ 3C1, 3D-1, 6A1 ]|[ a^2, c^4ba, c^2b ]
4.36-11.0.3.3.6.4.1|4.36-11.0.3.3.6.4|[ 5, 10, 12 ]|[ 3C-1, 3B1, 6A1 ]|[ a, cba^2, c^5b ]
4.36-11.0.3.3.6.5.1|4.36-11.0.3.3.6.5|[ 5, 8, 11 ]|[ 3C-1, 3B-1, 6A-1 ]|[ a, c^5ba^2, cb ]
4.36-11.0.3.3.6.6.1|4.36-11.0.3.3.6.6|[ 7, 10, 11 ]|[ 3D-1, 3B1, 6A-1 ]|[ c^4a, cba^2, cb ]
4.36-10.0.2.6.6.1.1|4.36-10.0.2.6.6.1|[ 4, 8, 9 ]|[ 2C, 6A, 6B ]|[ b^3a, cb^5, c^2b^2a ]
4.36-12.0.2.6.6.1.1|4.36-12.0.2.6.6.1|[ 4, 13, 16 ]|[ 2B, 6B, 6D-1 ]|[ b^3a^3, ba^4, b^4a^5 ]
